jittered_title,seed_title,onet_code,onet_name
"Senior Tax Specialist - Corporate Tax, $90,000 - $120,000/yr (CPA Required)",Tax Specialist,13-2082.00,Tax Preparers
"Tax Specialist - Individual Taxation, Seasonal (January - April)",Tax Specialist,13-2082.00,Tax Preparers
"Tax Specialist - State & Local Tax (SALT), $70,000 - $100,000/yr",Tax Specialist,13-2082.00,Tax Preparers
"Tax Specialist - Non-Profit Organizations, Exempt Organizations (Experience with Form 990)",Tax Specialist,13-2082.00,Tax Preparers
Ophthalmologist - Cornea Specialist Needed,Ophthalmologist,29-1241.00,"Ophthalmologists, Except Pediatric"
Join Our Team: Ophthalmologist Opportunity in Beautiful Coastal Town,Ophthalmologist,29-1241.00,"Ophthalmologists, Except Pediatric"
Ophthalmologist (MD/DO) - Partnership Track Available,Ophthalmologist,29-1241.00,"Ophthalmologists, Except Pediatric"
Exciting Opportunity for Ophthalmologist to Lead Our Eye Care Team,Ophthalmologist,29-1241.00,"Ophthalmologists, Except Pediatric"
Board Certified Ophthalmologist Wanted - Competitive Salary & Benefits,Ophthalmologist,29-1241.00,"Ophthalmologists, Except Pediatric"
Data Entry Specialist - Temporary (6 months) - $18-$20/hour,Data Entry Specialist,43-9021.00,Data Entry Keyers
Entry-Level Data Entry Specialist - Training Provided (Full-Time),Data Entry Specialist,43-9021.00,Data Entry Keyers
Data Entry Specialist - Bilingual (English/Spanish) Preferred,Data Entry Specialist,43-9021.00,Data Entry Keyers
Remote Data Entry Specialist Opportunity - Work from Home (Part-Time),Data Entry Specialist,43-9021.00,Data Entry Keyers
Senior Data Entry Specialist - Lead Data Management Projects (Full-Time),Data Entry Specialist,43-9021.00,Data Entry Keyers
"Registered Nurse (RN) - Progressive Care Unit - Nights - $10,000 Sign-On Bonus",Progressive Care Unit RN (Progressive Care Unit Registered Nurse),29-1141.01,Acute Care Nurses
PCU RN - Progressive Care Unit Registered Nurse - Travel Opportunity,Progressive Care Unit RN (Progressive Care Unit Registered Nurse),29-1141.01,Acute Care Nurses
Progressive Care Unit (PCU) RN - Full-Time - Top Pay & Benefits,Progressive Care Unit RN (Progressive Care Unit Registered Nurse),29-1141.01,Acute Care Nurses
"RN, Progressive Care Unit (PCU) - Experienced Nurses Wanted (Day/Night Shifts)",Progressive Care Unit RN (Progressive Care Unit Registered Nurse),29-1141.01,Acute Care Nurses
Progressive Care Unit RN - New Graduates Welcome to Apply (Full-Time),Progressive Care Unit RN (Progressive Care Unit Registered Nurse),29-1141.01,Acute Care Nurses
Gaming Regulator - Enforcement Division - State of Nevada,Casino Gaming Regulator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Casino Gaming Regulator - Compliance Specialist - Tribal Gaming Commission,Casino Gaming Regulator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Senior Gaming Regulator - Policy Development - National Gaming Association,Casino Gaming Regulator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Gaming Regulator Opportunity - Investigator - Commercial Casino Industry,Casino Gaming Regulator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Casino Gaming Regulator - Auditor - Experienced Professionals Wanted (Full-Time),Casino Gaming Regulator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
HVAC Mechanic - Commercial Refrigeration Experience a Plus,"HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic)",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"Heating, Ventilation, and Air Conditioning (HVAC) Mechanic - Residential Services","HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic)",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Lead HVAC Mechanic - Industrial Experience Required (Full-Time),"HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic)",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
HVAC Mechanic - Service Technician - Competitive Pay & Benefits Package,"HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic)",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Experienced HVAC Mechanic Wanted - Troubleshooting & Repair Expertise (Full-Time),"HVAC Mechanic (Heating, Ventilation, and Air Conditioning Mechanic)",49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Senior Film Editor - Documentary Series (Los Angeles),Film Editor,27-4032.00,Film and Video Editors
Assistant Film Editor - Feature Films (Entry-Level),Film Editor,27-4032.00,Film and Video Editors
Freelance Film Editor - Commercial Projects (Remote),Film Editor,27-4032.00,Film and Video Editors
Film Editor (Avid) - News and Current Events,Film Editor,27-4032.00,Film and Video Editors
Lead Film Editor - Post-Production House (New York),Film Editor,27-4032.00,Film and Video Editors
Personnel Technician - Recruitment and Hiring (HR Department),Personnel Technician,43-3051.00,Payroll and Timekeeping Clerks
Military Personnel Technician - Army Base (Fort Hood),Personnel Technician,43-3051.00,Payroll and Timekeeping Clerks
Personnel Technician (Temp) - Summer Internship Program,Personnel Technician,43-3051.00,Payroll and Timekeeping Clerks
HR Personnel Technician - Benefits Administration,Personnel Technician,43-3051.00,Payroll and Timekeeping Clerks
Senior Personnel Technician - Employee Relations Specialist,Personnel Technician,43-3051.00,Payroll and Timekeeping Clerks
2nd Pressman - Offset Printing (Night Shift),Offset Pressman,51-5112.00,Printing Press Operators
Offset Pressman - Web Press Operator (Experience Required),Offset Pressman,51-5112.00,Printing Press Operators
Entry-Level Offset Pressman - Training Provided (Day Shift),Offset Pressman,51-5112.00,Printing Press Operators
Lead Offset Pressman - Sheetfed Press (Supervisory Role),Offset Pressman,51-5112.00,Printing Press Operators
Offset Pressman - Flexographic Printing (Food Packaging),Offset Pressman,51-5112.00,Printing Press Operators
Fire Lieutenant - Emergency Medical Services (EMS),Fire Lieutenant,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Fire Lieutenant (Shift Commander) - Fire Station 17,Fire Lieutenant,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Deputy Fire Lieutenant - Training and Development,Fire Lieutenant,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Fire Lieutenant - Hazardous Materials Response Team,Fire Lieutenant,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Battalion Fire Lieutenant - Fire Investigation Unit,Fire Lieutenant,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
Laser Operator - CNC Machining (Metal Fabrication),Laser Operator,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Senior Laser Operator - Quality Control Inspector,Laser Operator,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Laser Operator (CO2) - Woodworking and Engraving,Laser Operator,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Entry-Level Laser Operator - On-the-Job Training (Plastics Manufacturing),Laser Operator,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Laser Operator - Fiber Laser Cutting (Automotive Industry),Laser Operator,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
"Cytology Coordinator - Histology Lab (FT, Days)",Cytology Coordinator,29-2011.02,Cytotechnologists
Lead Cytology Coordinator - Anatomic Pathology Department,Cytology Coordinator,29-2011.02,Cytotechnologists
Cytology Coordinator Opportunity - Join Our Team in Laboratory Services,Cytology Coordinator,29-2011.02,Cytotechnologists
Senior Cytology Coordinator - Cytology/Histology (Experience Required),Cytology Coordinator,29-2011.02,Cytotechnologists
"Cytology Coordinator, Laboratory - Temporary Position (6 Months)",Cytology Coordinator,29-2011.02,Cytotechnologists
Lab Technician (Lab Tech) - Microbiology Department (Nights),Lab Technician (Lab Tech),19-4099.01,Quality Control Analysts
Entry-Level Lab Technician - Training Provided (Multiple Openings),Lab Technician (Lab Tech),19-4099.01,Quality Control Analysts
Experienced Lab Technician Wanted - Hematology Lab (Full-Time),Lab Technician (Lab Tech),19-4099.01,Quality Control Analysts
"Lab Technician, Research and Development - New Graduates Welcome",Lab Technician (Lab Tech),19-4099.01,Quality Control Analysts
"Certified Lab Technician - Phlebotomy (Part-Time, Weekends)",Lab Technician (Lab Tech),19-4099.01,Quality Control Analysts
"Direct Support Professional (DSP) - Residential Services (PT, Varied Shifts)",Direct Support Professional (DSP),31-2012.00,Occupational Therapy Aides
"Direct Support Professional - Community Living (Full-Time, $15/hour)",Direct Support Professional (DSP),31-2012.00,Occupational Therapy Aides
"DSP - Direct Support Professional, Group Home Setting (Experience Preferred)",Direct Support Professional (DSP),31-2012.00,Occupational Therapy Aides
"Direct Support Professional (DSP) - Day Program (FT, Monday-Friday)",Direct Support Professional (DSP),31-2012.00,Occupational Therapy Aides
"Residential Direct Support Professional - Overnight Shifts ( Awake, $12/hour)",Direct Support Professional (DSP),31-2012.00,Occupational Therapy Aides
Field Technician (Field Tech) - Telecommunications (Company Vehicle Provided),Field Technician (Field Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Field Service Technician - Industrial Equipment (Travel Required),Field Technician (Field Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Entry-Level Field Technician - On-the-Job Training (Electrical Experience a Plus),Field Technician (Field Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Senior Field Technician - Network Installation and Repair (Full-Time),Field Technician (Field Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
"Field Technician, HVAC - Commercial and Residential (Competitive Pay and Benefits)",Field Technician (Field Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Nuclear Chemistry Technician - Radiochemistry Lab (BS/MS Required),Nuclear Chemistry Technician,19-4051.02,Nuclear Monitoring Technicians
Senior Nuclear Chemistry Technician - Nuclear Power Plant (Experience Necessary),Nuclear Chemistry Technician,19-4051.02,Nuclear Monitoring Technicians
Nuclear Chemistry Technician Opportunity - Research and Development (Temporary Position),Nuclear Chemistry Technician,19-4051.02,Nuclear Monitoring Technicians
"Nuclear Chemistry Technician, Health Physics - Radiation Safety (Full-Time)",Nuclear Chemistry Technician,19-4051.02,Nuclear Monitoring Technicians
Lead Nuclear Chemistry Technician - Analytical Services (Certification Preferred),Nuclear Chemistry Technician,19-4051.02,Nuclear Monitoring Technicians
CNC Die Machinist - 2nd Shift - Competitive Pay & Benefits,Die Machinist,51-4111.00,Tool and Die Makers
Die Machinist (Tool & Die Maker) - Experienced Candidates Wanted,Die Machinist,51-4111.00,Tool and Die Makers
Machinist - Die Maintenance & Repair - Day Shift,Die Machinist,51-4111.00,Tool and Die Makers
Senior Die Machinist - Lead Role in Manufacturing Team,Die Machinist,51-4111.00,Tool and Die Makers
Die Machinist Apprentice - Learn the Trade with Our Experienced Team,Die Machinist,51-4111.00,Tool and Die Makers
"Housekeeper/Room Cleaner - Part-Time, Hospitality Experience a Plus",Room Cleaner,37-2012.00,Maids and Housekeeping Cleaners
"Room Cleaner/Housekeeping Aide - Full-Time, Immediate Start",Room Cleaner,37-2012.00,Maids and Housekeeping Cleaners
"Hotel Room Cleaner - $15/hour, Tips, and Benefits",Room Cleaner,37-2012.00,Maids and Housekeeping Cleaners
Janitorial Room Cleaner - Commercial Cleaning Experience Required,Room Cleaner,37-2012.00,Maids and Housekeeping Cleaners
Environmental Services Room Cleaner - Join Our Healthcare Team,Room Cleaner,37-2012.00,Maids and Housekeeping Cleaners
Senior Financial Investigator - White-Collar Crime Unit,Financial Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Financial Investigator - Asset Forfeiture & Recovery,Financial Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Experienced Financial Investigator - Forensic Accounting Background,Financial Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Financial Crimes Investigator - Banking & Securities Expertise,Financial Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
Investigative Financial Analyst - Government Agency Opportunity,Financial Investigator,13-2099.04,"Fraud Examiners, Investigators and Analysts"
"Animal Control Officer - Field Operations, Evening Shifts",Animal Control Officer,33-9011.00,Animal Control Workers
Certified Animal Control Officer - Law Enforcement Experience a Plus,Animal Control Officer,33-9011.00,Animal Control Workers
Animal Welfare Officer/Animal Control - Non-Profit Organization,Animal Control Officer,33-9011.00,Animal Control Workers
Wildlife Control Specialist - Trapping & Removal Services,Animal Control Officer,33-9011.00,Animal Control Workers
"Animal Control Officer - Shelter Operations, Full-Time Position",Animal Control Officer,33-9011.00,Animal Control Workers
"General Office Clerk - Administrative Support, Part-Time",General Clerk,43-9061.00,"Office Clerks, General"
"Clerk - General Administration, Data Entry & Reception",General Clerk,43-9061.00,"Office Clerks, General"
"General Clerk III - Government Agency, Full-Time with Benefits",General Clerk,43-9061.00,"Office Clerks, General"
"Administrative General Clerk - Healthcare Setting, Day Shift",General Clerk,43-9061.00,"Office Clerks, General"
General Clerk - Mailroom & Shipping/Receiving Operations,General Clerk,43-9061.00,"Office Clerks, General"
Tenure Track Art Professor - Foundations Program,Art Professor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
"Art History Professor Wanted - Part-Time, Spring Semester",Art Professor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Professor of Art - Sculpture & 3D Design (Full-Time),Art Professor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Assistant Professor of Studio Art - Printmaking Emphasis,Art Professor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Visiting Art Professor - Photography & Digital Media (1-Year Appointment),Art Professor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
"Kitchen Steward/Dishwasher - The Ritz-Carlton, San Francisco",Kitchen Steward,35-9021.00,Dishwashers
Stewarding Manager - Kitchen Operations (Fine Dining Restaurant),Kitchen Steward,35-9021.00,Dishwashers
Dishroom/Kitchen Steward - Busy Cafe Seeks Team Player,Kitchen Steward,35-9021.00,Dishwashers
"Kitchen Steward - Part-Time, Evening Shifts (Hotel Industry)",Kitchen Steward,35-9021.00,Dishwashers
Utility/Steward - Kitchen Support Staff Needed (Food Service Experience Preferred),Kitchen Steward,35-9021.00,Dishwashers
Continuous Miner Operator (CMO) - Coal Mining Experience Required,Continuous Miner Operator (CMO),47-5041.00,Continuous Mining Machine Operators
Underground Coal Miner - Continuous Miner Operator (CMO) Certification,Continuous Miner Operator (CMO),47-5041.00,Continuous Mining Machine Operators
Experienced Continuous Miner Operator - Room & Pillar Mining,Continuous Miner Operator (CMO),47-5041.00,Continuous Mining Machine Operators
Continuous Miner Operator (CMO) - Mining Equipment Operator,Continuous Miner Operator (CMO),47-5041.00,Continuous Mining Machine Operators
Coal Miner: Continuous Miner Operator - Competitive Pay & Benefits,Continuous Miner Operator (CMO),47-5041.00,Continuous Mining Machine Operators
Vinyl Installation Specialist - Residential & Commercial,Vinyl Installer,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Vinyl Fence Installer - Laborer Position Available,Vinyl Installer,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
"Experienced Vinyl Installer - Siding, Windows, & Doors",Vinyl Installer,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Vinyl Graphics Installer - Sign Making & Installation (Full-Time),Vinyl Installer,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Vinyl Flooring Installer - Subfloor Preparation & Installation (Commercial Projects),Vinyl Installer,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Appliance Repair Technician - In-Home Service (Refrigeration Experience),Appliance Repair Mechanic,49-9031.00,Home Appliance Repairers
Appliance Repair Mechanic - Commercial Laundry Equipment,Appliance Repair Mechanic,49-9031.00,Home Appliance Repairers
Home Appliance Repair - Mechanic Needed for Growing Company,Appliance Repair Mechanic,49-9031.00,Home Appliance Repairers
Appliance Service Technician - Diagnostic & Repair Skills Required,Appliance Repair Mechanic,49-9031.00,Home Appliance Repairers
Industrial Appliance Repair Mechanic - Food Processing Equipment (Electrical & Mechanical),Appliance Repair Mechanic,49-9031.00,Home Appliance Repairers
Watershed Coordinator - Stormwater Management (Full-Time),Watershed Coordinator,19-2041.02,Environmental Restoration Planners
Senior Watershed Coordinator - Environmental Non-Profit,Watershed Coordinator,19-2041.02,Environmental Restoration Planners
Watershed Program Coordinator - Part-Time (Grant-Funded),Watershed Coordinator,19-2041.02,Environmental Restoration Planners
Coastal Watershed Coordinator - Government Agency (Seasonal),Watershed Coordinator,19-2041.02,Environmental Restoration Planners
Watershed Restoration Coordinator - Conservation Organization (AmeriCorps),Watershed Coordinator,19-2041.02,Environmental Restoration Planners
Refuge Manager - Wildlife Sanctuary (Live-On Site),Refuge Manager,19-1031.02,Range Managers
Assistant Refuge Manager - National Wildlife Refuge System,Refuge Manager,19-1031.02,Range Managers
Refuge Manager (Deputy Project Leader) - US Fish and Wildlife Service,Refuge Manager,19-1031.02,Range Managers
Wildlife Refuge Manager - State Government (Seasonal Position),Refuge Manager,19-1031.02,Range Managers
Refuge Operations Manager - Non-Profit Conservation Organization,Refuge Manager,19-1031.02,Range Managers
Acquisitions Editor - Academic Publishing (Remote Option),Acquisitions Editor,27-3041.00,Editors
Senior Acquisitions Editor - Trade Books (NYC),Acquisitions Editor,27-3041.00,Editors
"Editor, Acquisitions - University Press (Temporary Position)",Acquisitions Editor,27-3041.00,Editors
"Acquisitions Editor, Science and Technology - Major Publisher",Acquisitions Editor,27-3041.00,Editors
Commissioning Editor (Acquisitions) - Global Publishing Company (London),Acquisitions Editor,27-3041.00,Editors
Meat Packager - 2nd Shift (Competitive Pay & Benefits),Meat Packager,51-3023.00,Slaughterers and Meat Packers
Entry-Level Meat Packager - Training Provided (No Experience Necessary),Meat Packager,51-3023.00,Slaughterers and Meat Packers
Meat Packaging Specialist - Food Manufacturing Company,Meat Packager,51-3023.00,Slaughterers and Meat Packers
Production Worker - Meat Packaging (Temporary to Hire),Meat Packager,51-3023.00,Slaughterers and Meat Packers
Meat Packager - Night Shift (Bonus Pay for Perfect Attendance),Meat Packager,51-3023.00,Slaughterers and Meat Packers
Network Coordinator - IT Department (Help Desk Support),Network Coordinator,15-1244.00,Network and Computer Systems Administrators
Junior Network Coordinator - Cybersecurity Focus (Entry-Level),Network Coordinator,15-1244.00,Network and Computer Systems Administrators
Network Operations Coordinator - 24/7 Shifts (NOCC),Network Coordinator,15-1244.00,Network and Computer Systems Administrators
Network Services Coordinator - Higher Education Institution,Network Coordinator,15-1244.00,Network and Computer Systems Administrators
Senior Network Coordinator - Global Network Infrastructure (Remote Work Option),Network Coordinator,15-1244.00,Network and Computer Systems Administrators
Hair Assistant - Salon Team Member (Part-Time),Hair Assistant,39-5093.00,Shampooers
Assistant to Hairstylist - Upscale Salon in Downtown Area,Hair Assistant,39-5093.00,Shampooers
Hair Salon Assistant Manager - Leadership Opportunity,Hair Assistant,39-5093.00,Shampooers
Junior Hair Assistant - Training Provided (New Grads Welcome),Hair Assistant,39-5093.00,Shampooers
Salon Hair Assistant - Commission-Based Position (Potential for High Earnings),Hair Assistant,39-5093.00,Shampooers
Sustainability Champion - Corporate Social Responsibility Team,Sustainability Champion,13-1199.05,Sustainability Specialists
Environmental Sustainability Champion - Manufacturing Industry,Sustainability Champion,13-1199.05,Sustainability Specialists
Campus Sustainability Champion (Student Position) - Fall Semester,Sustainability Champion,13-1199.05,Sustainability Specialists
"Sustainability Champion, Community Outreach - Non-Profit Organization",Sustainability Champion,13-1199.05,Sustainability Specialists
Global Sustainability Champion - Senior Role in International Company,Sustainability Champion,13-1199.05,Sustainability Specialists
Advertising Account Representative - Digital Media (Entry-Level),Advertising Account Representative,41-3011.00,Advertising Sales Agents
Senior Advertising Account Representative - National Accounts,Advertising Account Representative,41-3011.00,Advertising Sales Agents
Advertising Account Manager - Agency Experience Required,Advertising Account Representative,41-3011.00,Advertising Sales Agents
"Account Representative, Advertising Sales - Base Salary + Commission",Advertising Account Representative,41-3011.00,Advertising Sales Agents
Advertising Account Coordinator - Assistant to Senior Account Manager,Advertising Account Representative,41-3011.00,Advertising Sales Agents
Financial Services Officer - Bank Branch (Customer Facing),Financial Services Officer,13-2031.00,Budget Analysts
"Financial Services Officer, Investments - Series 7 Required",Financial Services Officer,13-2031.00,Budget Analysts
Senior Financial Services Officer - Wealth Management Team,Financial Services Officer,13-2031.00,Budget Analysts
Financial Services Officer - Credit Union (Member Services),Financial Services Officer,13-2031.00,Budget Analysts
"Officer, Financial Services and Planning - Government Agency",Financial Services Officer,13-2031.00,Budget Analysts
Insurance Sales Agent - Life and Health (Commission-Only),Insurance Sales Agent,41-3021.00,Insurance Sales Agents
Licensed Insurance Sales Agent - Property and Casualty,Insurance Sales Agent,41-3021.00,Insurance Sales Agents
"Insurance Sales Agent, Entry-Level - Training Provided (No Experience Necessary)",Insurance Sales Agent,41-3021.00,Insurance Sales Agents
Senior Insurance Sales Agent - Agency Manager Opportunity,Insurance Sales Agent,41-3021.00,Insurance Sales Agents
Insurance Sales Agent - Commercial Lines (Business Insurance),Insurance Sales Agent,41-3021.00,Insurance Sales Agents
Electric Melt Operator - 2nd Shift (Steel Manufacturing),Electric Melt Operator,51-4051.00,Metal-Refining Furnace Operators and Tenders
Entry-Level Electric Melt Operator Trainee - Competitive Pay & Benefits,Electric Melt Operator,51-4051.00,Metal-Refining Furnace Operators and Tenders
Melt Shop: Electric Melt Operator - Experienced Candidates Preferred,Electric Melt Operator,51-4051.00,Metal-Refining Furnace Operators and Tenders
Electric Melt Operator - Day Shift (Immediate Opening),Electric Melt Operator,51-4051.00,Metal-Refining Furnace Operators and Tenders
Senior Electric Melt Operator - Lead Role in Busy Manufacturing Environment,Electric Melt Operator,51-4051.00,Metal-Refining Furnace Operators and Tenders
Compliance Manager - Financial Services (Series 7 & 66 Required),Compliance Manager,11-9199.02,Compliance Managers
Assistant Compliance Manager - Regulatory Affairs (Bilingual a Plus),Compliance Manager,11-9199.02,Compliance Managers
"Compliance Manager, AML/KYC - Anti-Money Laundering Expertise Needed",Compliance Manager,11-9199.02,Compliance Managers
Senior Compliance Manager - Global Team Lead (10+ Years Experience),Compliance Manager,11-9199.02,Compliance Managers
Compliance Manager - Healthcare Industry (HIPAA Experience Required),Compliance Manager,11-9199.02,Compliance Managers
Programmable Logic Controllers (PLC) Technician - Allen Bradley/Rockwell,Programmable Logic Controllers Technician,17-3024.01,Robotics Technicians
PLC Technician - Industrial Automation & Control Systems,Programmable Logic Controllers Technician,17-3024.01,Robotics Technicians
Senior PLC Technician - Troubleshooting & Repair Expertise,Programmable Logic Controllers Technician,17-3024.01,Robotics Technicians
Entry-Level PLC Technician - Training Provided (No Experience Necessary),Programmable Logic Controllers Technician,17-3024.01,Robotics Technicians
PLC Technician - Siemens S7 Experience a Strong Plus (Competitive Pay),Programmable Logic Controllers Technician,17-3024.01,Robotics Technicians
Child Development Teacher - Preschool (Lead Teacher Position),Child Development Teacher,25-2011.00,"Preschool Teachers, Except Special Education"
Infant/Toddler Child Development Teacher - Full-Time (CDA Required),Child Development Teacher,25-2011.00,"Preschool Teachers, Except Special Education"
Child Development Teacher Assistant - Part-Time (Afternoon Shift),Child Development Teacher,25-2011.00,"Preschool Teachers, Except Special Education"
Child Development Teacher - Elementary School Age (Summer Program),Child Development Teacher,25-2011.00,"Preschool Teachers, Except Special Education"
Lead Child Development Teacher - Center Director Role (Management Experience),Child Development Teacher,25-2011.00,"Preschool Teachers, Except Special Education"
Educational Assistant - Special Education (Autism Support),Educational Assistant,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Elementary Educational Assistant - General Education Classroom,Educational Assistant,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Bilingual Educational Assistant - English/Spanish (Full-Time),Educational Assistant,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Educational Assistant - High School Setting (Math & Science Support),Educational Assistant,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
"Educational Assistant - Kindergarten Classroom (Part-Time, Morning Shift)",Educational Assistant,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Senior Pattern Maker Programmer - Fashion Design (NYC),Pattern Maker Programmer,51-4062.00,"Patternmakers, Metal and Plastic"
Pattern Maker Programmer - Technical Design (Sportswear),Pattern Maker Programmer,51-4062.00,"Patternmakers, Metal and Plastic"
Automated Pattern Making: Programmer Wanted - Fashion Industry,Pattern Maker Programmer,51-4062.00,"Patternmakers, Metal and Plastic"
Pattern Maker/Programmer - CAD Design (Contractor),Pattern Maker Programmer,51-4062.00,"Patternmakers, Metal and Plastic"
Experienced Pattern Maker Programmer - Apparel Manufacturing,Pattern Maker Programmer,51-4062.00,"Patternmakers, Metal and Plastic"
Yard Engineer - Ship Repair (Full-Time),Yard Engineer,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Senior Yard Engineer - Maritime Industry (Competitive Salary),Yard Engineer,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Yard Engineer Opportunity - Naval Shipyard (Hiring Now),Yard Engineer,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Engineering Manager - Yard Operations (Marine Experience Required),Yard Engineer,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Yard Engineer (Marine Engineer) - Dry Dock Operations,Yard Engineer,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
Marine Engineering Consultant - Yacht Design & Construction,Marine Engineering Consultant,17-2121.00,Marine Engineers and Naval Architects
Senior Consultant - Marine Engineering (Offshore Experience),Marine Engineering Consultant,17-2121.00,Marine Engineers and Naval Architects
Marine Engineering Expert - Consultant Position (Freelance),Marine Engineering Consultant,17-2121.00,Marine Engineers and Naval Architects
Lead Marine Engineering Consultant - Shipbuilding Projects,Marine Engineering Consultant,17-2121.00,Marine Engineers and Naval Architects
Marine Engineering Consultant - Naval Architecture Firm (Boston),Marine Engineering Consultant,17-2121.00,Marine Engineers and Naval Architects
Crime Analyst - Law Enforcement (Data Analysis),Crime Analyst,33-3021.06,Intelligence Analysts
Senior Crime Analyst - Intelligence Unit (Full-Time),Crime Analyst,33-3021.06,Intelligence Analysts
Crime Analyst Opportunity - Police Department (Entry-Level),Crime Analyst,33-3021.06,Intelligence Analysts
Crime Analyst (GIS) - Mapping & Spatial Analysis,Crime Analyst,33-3021.06,Intelligence Analysts
Intelligence Analyst/Crime Analyst - Homeland Security (TS/SCI Clearance),Crime Analyst,33-3021.06,Intelligence Analysts
Tub Operator - Manufacturing (2nd Shift),Tub Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Entry-Level Tub Operator - Training Provided (Day Shift),Tub Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Tub Operator/Warehouse Worker - Material Handling,Tub Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Experienced Tub Operator - Production Line (Competitive Pay),Tub Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Tub Operator - Laundry Facility (Commercial Laundry Equipment),Tub Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Senior Credit Officer - Commercial Lending Team,Credit Officer,13-2041.00,Credit Analysts
Credit Officer (Small Business) - Underwriting and Portfolio Management,Credit Officer,13-2041.00,Credit Analysts
"AVP, Credit Officer - Middle Market Banking",Credit Officer,13-2041.00,Credit Analysts
Commercial Credit Officer - Relationship Management,Credit Officer,13-2041.00,Credit Analysts
Credit Officer - Loan Review and Risk Assessment,Credit Officer,13-2041.00,Credit Analysts
Electrical Controls Engineer - Industrial Automation,Electrical Controls Engineer,17-2071.00,Electrical Engineers
Senior Electrical Controls Engineer - PLC Programming,Electrical Controls Engineer,17-2071.00,Electrical Engineers
